Feature,SHAP_Importance_%
Proximity_to_Earthquake_Epicenters,15.010248
Proximity_to_Faults,11.368858
Annual_Mean_Temperature,11.044065
Proximity_to_Streams,7.8334327
Precipitation_of_Driest_Quarter,7.72333
Lithology,7.0463114
Proximity_to_Road,5.686596
Annual_Precipitation,5.08372
Precipitation_Seasonality,3.9362264
DEM,3.6375148
Precipitation_of_Wettest_Quarter,3.13557
Precipitation_of_Wettest_Month,3.0803
Topographic_Roughness_Index,2.293277
Terrain_Ruggedness_Index,2.2024713
Aspect,1.9519707
LST,1.7193785
LULC,1.7193543
ARVI,1.637762
NDBaI,1.6298318
Clay_sulfate_mica_and_marble,1.1529068
WRI,1.1068635
